Code,OSeMOSYS-style structure,Meaning,IAMC Variable
MINCOA,MIN|COA,Coal mining / coal supply,Coal
MINCRU,MIN|CRU,Crude oil supply,Oil
MINGEO,MIN|GEO,Geothermal resource supply,Geothermal
MINHYD,MIN|HYD,Hydropower resource,Hydro
MINNGS,MIN|NGS,Natural-gas supply,Gas
MINSOL,MIN|SOL,Solar resource,Solar
MINURN,MIN|URN,Uranium supply / mining,Nuclear
MINWND,MIN|WND,Wind resource,Wind
PWRBIO,PWR|BIO,Biomass power generation,Electricity|Biomass
PWRCOA,PWR|COA,Coal power generation,Electricity|Coal
PWRDIST,PWR|DIST,Power distribution,Electricity|Distribution
PWRDSL,PWR|DSL,Diesel power generation,Electricity|Diesel
PWRDSLOFF,PWR|DSL|OFF,Off-grid diesel power generation,Electricity|Diesel|Off-grid
PWREXPELC,PWR|EXP|ELC,Electricity exports,Electricity|Exports
PWRGEO,PWR|GEO,Geothermal power generation,Electricity|Geothermal
PWRHYD001,PWR|HYD|001,Hydropower generation - technology 001,Electricity|Hydro
PWRNGS,PWR|NGS,Natural-gas power generation,Electricity|Gas
PWRNUC,PWR|NUC,Nuclear power generation,Electricity|Nuclear
PWRSOL001,PWR|SOL|001,Solar power generation - technology 001,Electricity|Solar
PWRSOLOFF,PWR,Off-grid solar power generation,Capacity|Electricity|Solar|Off-grid
PWRTRA,PWR|TRA,Power transmission,Electricity|Transmission
PWRWND001,PWR|WND|001,Wind power generation - technology 001,Electricity|Wind
UPSBDL,UPS|BDL,Biodiesel production / process,Biofuels|Biodiesel
UPSDBB,UPS|DBB,Model-specific UPS technology: DBB (not defined by OSeMOSYS Global mapping),EVC
UPSELE,UPS|ELE,Electrolysis process,Hydrogen|Electrolysis
UPSETH,UPS|ETH,Ethanol production / process,Biofuels|Ethanol
UPSEVC,UPS|EVC,Model-specific UPS technology: DBB (not defined by OSeMOSYS Global mapping),DBB
UPSGBB,UPS|GBB,Model-specific UPS technology: GBB (not defined by OSeMOSYS Global mapping),GBB
UPSREF,UPS|REF,Refinery / refining process,Refined Fuels
UPSSAF,UPS|SAF,Sustainable aviation fuel production / process,Sustainable Aviation Fuel
UPSSMR,UPS|SMR,Steam methane reforming process,Hydrogen|SMR
